Date	Service	Message Count	Number of Friends	Mentions and Likes
1/1/2011	Facebook	2	1	0
1/15/2011	Facebook	2	1	0
1/29/2011	Facebook	5	3	1
2/12/2011	Facebook	6	4	1
2/26/2011	Facebook	6	4	1
3/12/2011	Facebook	7	4	1
3/26/2011	Facebook	7	5	2
4/9/2011	Facebook	8	5	1
4/23/2011	Facebook	8	5	3
5/7/2011	Facebook	9	6	2
5/21/2011	Facebook	9	6	3
6/4/2011	Facebook	10	6	2
6/18/2011	Facebook	10	7	4
7/2/2011	Facebook	11	7	2
7/16/2011	Facebook	10	7	4
7/30/2011	Facebook	11	7	3
8/13/2011	Facebook	11	7	4
8/27/2011	Facebook	12	7	3
9/10/2011	Facebook	11	8	5
9/24/2011	Facebook	12	8	3
10/8/2011	Facebook	12	8	5
10/22/2011	Facebook	13	8	4
11/5/2011	Facebook	13	9	6
11/19/2011	Facebook	14	9	4
12/3/2011	Facebook	13	9	7
12/17/2011	Facebook	16	10	5
12/31/2011	Facebook	16	11	10
1/14/2012	Facebook	18	11	6
1/28/2012	Facebook	17	11	10
2/11/2012	Facebook	19	12	7
2/25/2012	Facebook	24	16	21
3/10/2012	Facebook	27	17	15
3/24/2012	Facebook	26	17	25
4/7/2012	Facebook	28	18	16
4/21/2012	Facebook	28	19	30
5/5/2012	Facebook	42	26	35
5/19/2012	Facebook	44	29	73
6/2/2012	Facebook	46	31	45
6/16/2012	Facebook	53	33	28
6/30/2012	Facebook	57	38	35
7/14/2012	Facebook	66	41	43
7/28/2012	Facebook	68	45	49
8/11/2012	Facebook	77	48	59
8/25/2012	Facebook	99	66	105
9/8/2012	Facebook	99	66	105
9/22/2012	Facebook	118	74	140
10/6/2012	Facebook	144	96	221
10/20/2012	Facebook	163	102	27
11/3/2012	Facebook	249	166	66
11/17/2012	Facebook	297	186	88
12/1/2012	Facebook	297	198	94
12/15/2012	Facebook	315	210	106
12/29/2012	Facebook	355	222	126
1/12/2013	Facebook	351	234	131
1/26/2013	Facebook	394	246	155
2/9/2013	Facebook	387	258	160
2/23/2013	Facebook	432	270	187
3/9/2013	Facebook	423	282	191
3/23/2013	Facebook	441	294	208
4/6/2013	Facebook	490	306	240
4/20/2013	Facebook	477	318	243
5/4/2013	Facebook	529	330	279
5/18/2013	Facebook	514	342	281
6/1/2013	Facebook	567	354	322
6/15/2013	Facebook	550	366	322
6/29/2013	Facebook	568	378	344
7/13/2013	Facebook	625	391	390
7/27/2013	Facebook	604	403	389
8/10/2013	Facebook	663	415	440
8/24/2013	Facebook	640	427	437
9/7/2013	Facebook	702	439	493
9/21/2013	Facebook	676	451	487
10/5/2013	Facebook	694	463	514
10/19/2013	Facebook	760	475	577
11/2/2013	Facebook	730	487	569
11/16/2013	Facebook	798	499	637
11/30/2013	Facebook	766	511	626
12/14/2013	Facebook	837	523	700
12/28/2013	Facebook	802	535	687
1/11/2014	Facebook	820	547	718
1/25/2014	Facebook	894	559	800
2/8/2014	Facebook	857	571	783
2/22/2014	Facebook	933	583	870
3/8/2014	Facebook	893	595	850
1/1/2011	Twitter	6	3	1
1/15/2011	Twitter	5	4	1
1/29/2011	Twitter	8	5	2
2/12/2011	Twitter	9	6	2
2/26/2011	Twitter	10	7	4
3/12/2011	Twitter	12	7	3
3/26/2011	Twitter	12	8	5
4/9/2011	Twitter	14	9	4
4/23/2011	Twitter	14	10	8
5/7/2011	Twitter	16	10	5
5/21/2011	Twitter	18	11	11
6/4/2011	Twitter	18	12	7
6/18/2011	Twitter	20	13	14
7/2/2011	Twitter	20	13	9
7/16/2011	Twitter	23	14	18
7/30/2011	Twitter	23	15	11
8/13/2011	Twitter	24	16	21
8/27/2011	Twitter	26	17	14
9/10/2011	Twitter	26	17	25
9/24/2011	Twitter	29	18	17
10/8/2011	Twitter	28	19	30
10/22/2011	Twitter	31	20	20
11/5/2011	Twitter	31	20	35
11/19/2011	Twitter	32	21	22
12/3/2011	Twitter	35	22	43
12/17/2011	Twitter	34	23	25
12/31/2011	Twitter	38	23	49
1/14/2012	Twitter	36	24	28
1/28/2012	Twitter	40	25	56
2/11/2012	Twitter	39	26	32
2/25/2012	Twitter	40	27	59
3/10/2012	Twitter	44	27	38
3/24/2012	Twitter	42	28	66
4/7/2012	Twitter	46	29	43
4/21/2012	Twitter	44	30	74
5/5/2012	Twitter	49	30	47
5/19/2012	Twitter	47	31	82
6/2/2012	Twitter	48	32	49
6/16/2012	Twitter	52	33	96
6/30/2012	Twitter	50	33	54
7/14/2012	Twitter	55	34	105
7/28/2012	Twitter	53	35	59
8/11/2012	Twitter	57	36	115
8/25/2012	Twitter	55	37	64
9/8/2012	Twitter	56	37	117
9/22/2012	Twitter	61	38	74
10/6/2012	Twitter	58	39	127
10/20/2012	Twitter	63	40	80
11/3/2012	Twitter	61	40	137
11/17/2012	Twitter	66	41	87
12/1/2012	Twitter	63	42	148
12/15/2012	Twitter	64	43	88
12/29/2012	Twitter	70	44	170
1/12/2013	Twitter	72	48	111
1/26/2013	Twitter	80	50	224
2/9/2013	Twitter	78	52	130
2/23/2013	Twitter	86	54	262
3/9/2013	Twitter	84	56	151
3/23/2013	Twitter	87	58	283
4/6/2013	Twitter	96	60	185
4/20/2013	Twitter	93	62	324
5/4/2013	Twitter	103	64	210
5/18/2013	Twitter	99	66	367
6/1/2013	Twitter	109	68	238
6/15/2013	Twitter	105	70	413
6/29/2013	Twitter	108	72	250
7/13/2013	Twitter	119	74	493
7/27/2013	Twitter	114	76	279
8/10/2013	Twitter	125	78	548
8/24/2013	Twitter	120	80	309
9/7/2013	Twitter	132	82	606
9/21/2013	Twitter	126	84	341
10/5/2013	Twitter	129	86	625
10/19/2013	Twitter	141	88	399
11/2/2013	Twitter	135	90	685
11/16/2013	Twitter	148	92	436
11/30/2013	Twitter	141	94	747
12/14/2013	Twitter	154	96	475
12/28/2013	Twitter	147	98	313
1/11/2014	Twitter	151	100	326
1/25/2014	Twitter	164	102	362
2/8/2014	Twitter	157	104	353
2/22/2014	Twitter	170	106	391
3/8/2014	Twitter	163	108	381
1/1/2011	Linked In	7	4	2
1/15/2011	Linked In	7	5	1
1/29/2011	Linked In	11	8	5
2/12/2011	Linked In	11	7	2
2/26/2011	Linked In	13	9	6
3/12/2011	Linked In	18	11	6
3/26/2011	Linked In	15	10	8
4/9/2011	Linked In	18	12	7
4/23/2011	Linked In	22	14	17
5/7/2011	Linked In	19	12	7
5/21/2011	Linked In	23	15	19
6/4/2011	Linked In	27	18	15
6/18/2011	Linked In	24	15	21
7/2/2011	Linked In	26	18	15
7/16/2011	Linked In	34	21	41
7/30/2011	Linked In	27	18	16
8/13/2011	Linked In	31	21	35
8/27/2011	Linked In	40	25	32
9/10/2011	Linked In	31	21	36
9/24/2011	Linked In	38	24	28
10/8/2011	Linked In	42	28	67
10/22/2011	Linked In	38	24	28
11/5/2011	Linked In	40	27	59
11/19/2011	Linked In	48	32	48
12/3/2011	Linked In	42	26	62
12/17/2011	Linked In	44	30	42
12/31/2011	Linked In	56	35	111
1/14/2012	Linked In	44	29	41
1/28/2012	Linked In	48	30	81
2/11/2012	Linked In	50	34	54
2/25/2012	Linked In	60	40	133
3/10/2012	Linked In	52	33	55
3/24/2012	Linked In	55	37	112
4/7/2012	Linked In	69	43	96
4/21/2012	Linked In	53	36	106
5/5/2012	Linked In	63	40	80
5/19/2012	Linked In	70	47	184
6/2/2012	Linked In	58	38	71
6/16/2012	Linked In	68	43	162
6/30/2012	Linked In	75	50	121
7/14/2012	Linked In	66	41	151
7/28/2012	Linked In	68	46	100
8/11/2012	Linked In	86	54	258
8/25/2012	Linked In	66	44	92
9/8/2012	Linked In	73	49	198
9/22/2012	Linked In	91	57	167
10/6/2012	Linked In	70	47	183
10/20/2012	Linked In	82	52	136
11/3/2012	Linked In	91	61	309
11/17/2012	Linked In	79	49	125
12/1/2012	Linked In	82	55	250
12/15/2012	Linked In	96	64	197
12/29/2012	Linked In	84	52	59
1/12/2013	Linked In	94	62	79
1/26/2013	Linked In	120	75	122
2/9/2013	Linked In	94	62	80
2/23/2013	Linked In	104	65	92
3/9/2013	Linked In	109	73	108
3/23/2013	Linked In	131	87	155
4/6/2013	Linked In	115	72	113
4/20/2013	Linked In	121	81	133
5/4/2013	Linked In	154	96	201
5/18/2013	Linked In	119	79	128
6/1/2013	Linked In	142	89	171
6/15/2013	Linked In	158	105	226
6/29/2013	Linked In	130	87	153
7/13/2013	Linked In	154	96	202
7/27/2013	Linked In	171	114	266
8/10/2013	Linked In	150	94	192
8/24/2013	Linked In	156	104	222
9/7/2013	Linked In	197	123	331
